Date,Downloads
2024-08-29,2356
2024-08-30,831
2024-08-31,566
2024-09-01,508
2024-09-02,650
2024-09-03,695
2024-09-04,541
2024-09-05,500
2024-09-06,476
2024-09-07,367
2024-09-08,330
2024-09-09,453
2024-09-10,1001
2024-09-11,627
2024-09-12,401
2024-09-13,350
2024-09-14,296
2024-09-15,310
2024-09-16,373
2024-09-17,336
2024-09-18,251
2024-09-19,209
2024-09-20,226
2024-09-21,180
2024-09-22,214
2024-09-23,248
2024-09-24,217
2024-09-25,196
2024-09-26,182
2024-09-27,193
2024-09-28,277
2024-09-29,156
2024-09-30,219
2024-10-01,211
2024-10-02,217
2024-10-03,203
2024-10-04,191
2024-10-05,159
2024-10-06,146
2024-10-07,196
2024-10-08,213
2024-10-09,209
2024-10-10,205
2024-10-11,154
2024-10-12,161
2024-10-13,136
2024-10-14,172
2024-10-15,177
2024-10-16,185
2024-10-17,209
2024-10-18,162
2024-10-19,149
2024-10-20,98
2024-10-21,140
2024-10-22,173
2024-10-23,128
2024-10-24,142
2024-10-25,122
2024-10-26,104
2024-10-27,109
2024-10-28,138
2024-10-29,145
2024-10-30,113
2024-10-31,107
2024-11-01,133
2024-11-02,89
2024-11-03,96
2024-11-04,145
2024-11-05,131
2024-11-06,147
2024-11-07,131
2024-11-08,137
2024-11-09,120
2024-11-10,113
2024-11-11,6885
2024-11-12,4891
2024-11-13,943
2024-11-14,789
2024-11-15,773
2024-11-16,483
2024-11-17,351
2024-11-18,386
2024-11-19,411
2024-11-20,337
2024-11-21,330
2024-11-22,922
2024-11-23,276
2024-11-24,192
2024-11-25,254
2024-11-26,258
2024-11-27,230
2024-11-28,242
2024-11-29,188
2024-11-30,139
2024-12-01,157
2024-12-02,223
2024-12-03,218
2024-12-04,200
2024-12-05,191
2024-12-06,163
2024-12-07,150
2024-12-08,121
2024-12-09,202
2024-12-10,194
2024-12-11,161
2024-12-12,174
2024-12-13,120
2024-12-14,110
2024-12-15,118
2024-12-16,158
2024-12-17,165
2024-12-18,159
2024-12-19,143
2024-12-20,135
2024-12-21,93
2024-12-22,132
2024-12-23,126
2024-12-24,119
2024-12-25,105
2024-12-26,105
2024-12-27,120
2024-12-28,99
2024-12-29,103
2024-12-30,115
2024-12-31,125
2025-01-01,103
2025-01-02,138
2025-01-03,125
2025-01-04,108
2025-01-05,114
2025-01-06,126
2025-01-07,129
2025-01-08,133
2025-01-09,148
2025-01-10,130
2025-01-11,117
2025-01-12,112
2025-01-13,143
2025-01-14,134
2025-01-15,122
2025-01-16,136
2025-01-17,109
2025-01-18,104
2025-01-19,93
2025-01-20,128
2025-01-21,127
2025-01-22,149
2025-01-23,104
2025-01-24,122
2025-01-25,95
2025-01-26,87
2025-01-27,130
2025-01-28,118
2025-01-29,121
2025-01-30,130
2025-01-31,112
2025-02-01,96
2025-02-02,82
2025-02-03,103
2025-02-04,138
2025-02-05,124
2025-02-06,123
2025-02-07,120
2025-02-08,90
2025-02-09,109
2025-02-10,134
2025-02-11,140
2025-02-12,129
2025-02-13,138
2025-02-14,102
2025-02-15,95
2025-02-16,92
2025-02-17,8361
2025-02-18,8438
2025-02-19,5429
2025-02-20,683
2025-02-21,505
2025-02-22,372
2025-02-23,323
2025-02-24,425
2025-02-25,8831
2025-02-26,2380
2025-02-27,632
2025-02-28,499
2025-03-01,326
2025-03-02,276
2025-03-03,433
2025-03-04,362
2025-03-05,317
2025-03-06,303
2025-03-07,290
2025-03-08,182
2025-03-09,180
2025-03-10,276
2025-03-11,269
2025-03-12,268
2025-03-13,243
2025-03-14,318
2025-03-15,142
