Date,Downloads
2024-08-29,267
2024-08-30,247
2024-08-31,175
2024-09-01,157
2024-09-02,267
2024-09-03,278
2024-09-04,233
2024-09-05,217
2024-09-06,178
2024-09-07,137
2024-09-08,135
2024-09-09,205
2024-09-10,781
2024-09-11,505
2024-09-12,225
2024-09-13,169
2024-09-14,110
2024-09-15,110
2024-09-16,190
2024-09-17,172
2024-09-18,154
2024-09-19,158
2024-09-20,141
2024-09-21,93
2024-09-22,116
2024-09-23,169
2024-09-24,178
2024-09-25,151
2024-09-26,195
2024-09-27,5368
2024-09-28,1505
2024-09-29,518
2024-09-30,4956
2024-10-01,5937
2024-10-02,3353
2024-10-03,761
2024-10-04,5734
2024-10-05,1344
2024-10-06,433
2024-10-07,4148
2024-10-08,6614
2024-10-09,3148
2024-10-10,776
2024-10-11,485
2024-10-12,336
2024-10-13,308
2024-10-14,579
2024-10-15,4452
2024-10-16,2998
2024-10-17,694
2024-10-18,5268
2024-10-19,1774
2024-10-20,456
2024-10-21,828
2024-10-22,648
2024-10-23,491
2024-10-24,397
2024-10-25,372
2024-10-26,200
2024-10-27,236
2024-10-28,327
2024-10-29,370
2024-10-30,286
2024-10-31,276
2024-11-01,252
2024-11-02,165
2024-11-03,173
2024-11-04,343
2024-11-05,322
2024-11-06,277
2024-11-07,265
2024-11-08,5426
2024-11-09,1683
2024-11-10,460
2024-11-11,816
2024-11-12,642
2024-11-13,642
2024-11-14,518
2024-11-15,485
2024-11-16,240
2024-11-17,248
2024-11-18,401
2024-11-19,390
2024-11-20,350
2024-11-21,342
2024-11-22,1255
2024-11-23,238
2024-11-24,181
2024-11-25,328
2024-11-26,292
2024-11-27,291
2024-11-28,245
2024-11-29,218
2024-11-30,156
2024-12-01,158
2024-12-02,226
2024-12-03,225
2024-12-04,229
2024-12-05,192
2024-12-06,191
2024-12-07,124
2024-12-08,110
2024-12-09,188
2024-12-10,196
2024-12-11,171
2024-12-12,198
2024-12-13,125
2024-12-14,103
2024-12-15,125
2024-12-16,172
2024-12-17,170
2024-12-18,184
2024-12-19,170
2024-12-20,130
2024-12-21,93
2024-12-22,95
2024-12-23,136
2024-12-24,105
2024-12-25,83
2024-12-26,78
2024-12-27,92
2024-12-28,83
2024-12-29,100
2024-12-30,115
2024-12-31,114
2025-01-01,78
2025-01-02,118
2025-01-03,130
2025-01-04,86
2025-01-05,88
2025-01-06,115
2025-01-07,128
2025-01-08,3451
2025-01-09,3692
2025-01-10,4477
2025-01-11,2519
2025-01-12,501
2025-01-13,770
2025-01-14,624
2025-01-15,474
2025-01-16,436
2025-01-17,381
2025-01-18,230
2025-01-19,193
2025-01-20,363
2025-01-21,338
2025-01-22,323
2025-01-23,305
2025-01-24,279
2025-01-25,185
2025-01-26,230
2025-01-27,298
2025-01-28,252
2025-01-29,244
2025-01-30,241
2025-01-31,244
2025-02-01,161
2025-02-02,127
2025-02-03,245
2025-02-04,274
2025-02-05,260
2025-02-06,212
2025-02-07,188
2025-02-08,117
2025-02-09,112
2025-02-10,200
2025-02-11,203
2025-02-12,192
2025-02-13,195
2025-02-14,147
2025-02-15,111
2025-02-16,105
2025-02-17,985
2025-02-18,229
2025-02-19,170
2025-02-20,144
2025-02-21,145
2025-02-22,114
2025-02-23,95
2025-02-24,174
2025-02-25,156
2025-02-26,172
2025-02-27,143
2025-02-28,110
2025-03-01,86
2025-03-02,94
2025-03-03,149
2025-03-04,116
2025-03-05,153
2025-03-06,132
2025-03-07,138
2025-03-08,95
2025-03-09,91
2025-03-10,155
2025-03-11,153
2025-03-12,127
2025-03-13,158
2025-03-14,148
2025-03-15,94
2025-03-16,76
2025-03-17,125
2025-03-18,124
2025-03-19,126
2025-03-20,128
2025-03-21,120
2025-03-22,75
2025-03-23,83
2025-03-24,116
2025-03-25,110
2025-03-26,141
2025-03-27,129
2025-03-28,85
2025-03-29,80
