Total Downloads,Date,Today's Downloads
176255,2024-08-30,0
176560,2024-08-31,305
176756,2024-09-01,196
176979,2024-09-02,223
177239,2024-09-03,260
177478,2024-09-04,239
177723,2024-09-05,245
177954,2024-09-06,231
178142,2024-09-07,188
178296,2024-09-08,154
178427,2024-09-09,131
178619,2024-09-10,192
178826,2024-09-11,207
179018,2024-09-12,192
179270,2024-09-13,252
179463,2024-09-14,193
179609,2024-09-15,146
179733,2024-09-16,124
179885,2024-09-17,152
180056,2024-09-18,171
180205,2024-09-19,149
180350,2024-09-20,145
180502,2024-09-21,152
180613,2024-09-22,111
180728,2024-09-23,115
180871,2024-09-24,143
181020,2024-09-25,149
181184,2024-09-26,164
181300,2024-09-27,116
181442,2024-09-28,142
181578,2024-09-29,136
181687,2024-09-30,109
181838,2024-10-01,151
182008,2024-10-02,170
182158,2024-10-03,150
182311,2024-10-04,153
182442,2024-10-05,131
182551,2024-10-06,109
182648,2024-10-07,97
182782,2024-10-08,134
182950,2024-10-09,168
183094,2024-10-10,144
183227,2024-10-11,133
183350,2024-10-12,123
183459,2024-10-13,109
183563,2024-10-14,104
183700,2024-10-15,137
183848,2024-10-16,148
184001,2024-10-17,153
184135,2024-10-18,134
184257,2024-10-19,122
184363,2024-10-20,106
184474,2024-10-21,111
184626,2024-10-22,152
184765,2024-10-23,139
184914,2024-10-24,149
185034,2024-10-25,120
185135,2024-10-26,101
185230,2024-10-27,95
185337,2024-10-28,107
185501,2024-10-29,164
185637,2024-10-30,136
185761,2024-10-31,124
185881,2024-11-01,120
186005,2024-11-02,124
186101,2024-11-03,96
186223,2024-11-04,122
186366,2024-11-05,143
186517,2024-11-06,151
186642,2024-11-07,125
186781,2024-11-08,139
189346,2024-11-09,2565
190345,2024-11-10,999
190624,2024-11-11,279
190915,2024-11-12,291
191177,2024-11-13,262
191470,2024-11-14,293
191737,2024-11-15,267
191948,2024-11-16,211
192086,2024-11-17,138
192248,2024-11-18,162
192486,2024-11-19,238
192692,2024-11-20,206
192880,2024-11-21,188
193138,2024-11-22,258
193360,2024-11-23,222
193509,2024-11-24,149
193646,2024-11-25,137
193812,2024-11-26,166
193974,2024-11-27,162
194139,2024-11-28,165
194284,2024-11-29,145
194419,2024-11-30,135
194527,2024-12-01,108
194631,2024-12-02,104
194772,2024-12-03,141
194914,2024-12-04,142
195070,2024-12-05,156
195214,2024-12-06,144
195354,2024-12-07,140
195455,2024-12-08,101
195553,2024-12-09,98
195704,2024-12-10,151
195870,2024-12-11,166
196015,2024-12-12,145
196131,2024-12-13,116
196250,2024-12-14,119
196347,2024-12-15,97
196447,2024-12-16,100
196584,2024-12-17,137
196721,2024-12-18,137
196853,2024-12-19,132
196973,2024-12-20,120
197078,2024-12-21,105
197173,2024-12-22,95
197272,2024-12-23,99
197378,2024-12-24,106
197444,2024-12-25,66
197513,2024-12-26,69
197604,2024-12-27,91
197702,2024-12-28,98
197792,2024-12-29,90
197880,2024-12-30,88
197974,2024-12-31,94
198059,2025-01-01,85
198133,2025-01-02,74
198254,2025-01-03,121
198369,2025-01-04,115
198465,2025-01-05,96
198553,2025-01-06,88
198667,2025-01-07,114
198798,2025-01-08,131
198934,2025-01-09,136
199058,2025-01-10,124
199190,2025-01-11,132
199296,2025-01-12,106
199379,2025-01-13,83
199499,2025-01-14,120
199618,2025-01-15,119
199743,2025-01-16,125
199859,2025-01-17,116
199980,2025-01-18,121
200061,2025-01-19,81
200157,2025-01-20,96
200288,2025-01-21,131
200435,2025-01-22,147
200562,2025-01-23,127
200684,2025-01-24,122
200823,2025-01-25,139
200935,2025-01-26,112
201043,2025-01-27,108
201152,2025-01-28,109
201279,2025-01-29,127
201406,2025-01-30,127
201530,2025-01-31,124
201637,2025-02-01,107
201730,2025-02-02,93
201821,2025-02-03,91
201926,2025-02-04,105
202059,2025-02-05,133
202181,2025-02-06,122
202316,2025-02-07,135
202415,2025-02-08,99
202538,2025-02-09,123
202643,2025-02-10,105
202777,2025-02-11,134
202891,2025-02-12,114
203031,2025-02-13,140
203127,2025-02-14,96
203224,2025-02-15,97
203318,2025-02-16,94
203422,2025-02-17,104
203565,2025-02-18,143
203684,2025-02-19,119
203798,2025-02-20,114
203920,2025-02-21,122
204022,2025-02-22,102
204116,2025-02-23,94
204207,2025-02-24,91
204327,2025-02-25,120
204438,2025-02-26,111
204541,2025-02-27,103
204646,2025-02-28,105
204739,2025-03-01,93
204826,2025-03-02,87
204915,2025-03-03,89
205017,2025-03-04,102
205135,2025-03-05,118
205252,2025-03-06,117
205376,2025-03-07,124
205468,2025-03-08,92
205544,2025-03-09,76
205626,2025-03-10,82
205737,2025-03-11,111
205849,2025-03-12,112
205955,2025-03-13,106
206058,2025-03-14,103
206173,2025-03-15,115
206247,2025-03-16,74
206313,2025-03-17,66
206418,2025-03-18,105
206530,2025-03-19,112
206635,2025-03-20,105
206719,2025-03-21,84
206831,2025-03-22,112
206917,2025-03-23,86
206986,2025-03-24,69
207085,2025-03-25,99
207189,2025-03-26,104
207275,2025-03-27,86
207382,2025-03-28,107
207478,2025-03-29,96
207543,2025-03-30,65
207615,2025-03-31,72
207693,2025-04-01,78
207785,2025-04-02,92
207876,2025-04-03,91
207982,2025-04-04,106
208073,2025-04-05,91
208136,2025-04-06,63
208196,2025-04-07,60
208292,2025-04-08,96
208388,2025-04-09,96
208472,2025-04-10,84
208556,2025-04-11,84
208644,2025-04-12,88
208716,2025-04-13,72
208780,2025-04-14,64
208886,2025-04-15,106
208990,2025-04-16,104
209103,2025-04-17,113
209195,2025-04-18,92
209288,2025-04-19,93
209358,2025-04-20,70
209433,2025-04-21,75
209527,2025-04-22,94
209631,2025-04-23,104
209723,2025-04-24,92
209835,2025-04-25,112
209905,2025-04-26,70
209967,2025-04-27,62
210043,2025-04-28,76
210123,2025-04-29,80
210206,2025-04-30,83
210296,2025-05-01,90
210383,2025-05-02,87
210457,2025-05-03,74
210519,2025-05-04,62
210590,2025-05-05,71
210695,2025-05-06,105
210793,2025-05-07,98
210883,2025-05-08,90
210964,2025-05-09,81
211058,2025-05-10,94
211120,2025-05-11,62
211180,2025-05-12,60
211258,2025-05-13,78
211343,2025-05-14,85
211432,2025-05-15,89
211501,2025-05-16,69
211572,2025-05-17,71
211630,2025-05-18,58
211702,2025-05-19,72
211789,2025-05-20,87
211885,2025-05-21,96
211967,2025-05-22,82
212059,2025-05-23,92
212128,2025-05-24,69
212193,2025-05-25,65
212258,2025-05-26,65
212345,2025-05-27,87
215013,2025-05-28,2668
215902,2025-05-29,889
216181,2025-05-30,279
216378,2025-05-31,197
216524,2025-06-01,146
216676,2025-06-02,152
216876,2025-06-03,200
217062,2025-06-04,186
217232,2025-06-05,170
217363,2025-06-06,131
217488,2025-06-07,125
