Total Downloads,Date,Today's Downloads
52264,2024-08-30,0
52338,2024-08-31,74
52385,2024-09-01,47
52446,2024-09-02,61
52513,2024-09-03,67
52567,2024-09-04,54
52617,2024-09-05,50
52674,2024-09-06,57
52728,2024-09-07,54
52758,2024-09-08,30
52799,2024-09-09,41
52852,2024-09-10,53
52910,2024-09-11,58
52964,2024-09-12,54
53068,2024-09-13,104
53136,2024-09-14,68
53164,2024-09-15,28
53204,2024-09-16,40
53242,2024-09-17,38
53286,2024-09-18,44
53324,2024-09-19,38
53363,2024-09-20,39
53383,2024-09-21,20
53413,2024-09-22,30
53435,2024-09-23,22
53472,2024-09-24,37
53525,2024-09-25,53
53565,2024-09-26,40
53597,2024-09-27,32
53630,2024-09-28,33
53648,2024-09-29,18
53685,2024-09-30,37
53740,2024-10-01,55
53780,2024-10-02,40
53822,2024-10-03,42
53856,2024-10-04,34
53882,2024-10-05,26
53912,2024-10-06,30
53944,2024-10-07,32
53981,2024-10-08,37
54014,2024-10-09,33
54051,2024-10-10,37
54075,2024-10-11,24
54107,2024-10-12,32
54132,2024-10-13,25
54155,2024-10-14,23
54197,2024-10-15,42
54239,2024-10-16,42
54285,2024-10-17,46
54325,2024-10-18,40
54360,2024-10-19,35
54384,2024-10-20,24
54418,2024-10-21,34
54442,2024-10-22,24
54475,2024-10-23,33
54505,2024-10-24,30
54531,2024-10-25,26
54565,2024-10-26,34
54583,2024-10-27,18
54614,2024-10-28,31
54657,2024-10-29,43
54695,2024-10-30,38
54737,2024-10-31,42
54760,2024-11-01,23
54786,2024-11-02,26
54809,2024-11-03,23
54840,2024-11-04,31
54872,2024-11-05,32
54919,2024-11-06,47
54943,2024-11-07,24
54980,2024-11-08,37
56018,2024-11-09,1038
56298,2024-11-10,280
56364,2024-11-11,66
56448,2024-11-12,84
56517,2024-11-13,69
56604,2024-11-14,87
56672,2024-11-15,68
56732,2024-11-16,60
56762,2024-11-17,30
56799,2024-11-18,37
56849,2024-11-19,50
56895,2024-11-20,46
56941,2024-11-21,46
57020,2024-11-22,79
57089,2024-11-23,69
57125,2024-11-24,36
57154,2024-11-25,29
57199,2024-11-26,45
57233,2024-11-27,34
57278,2024-11-28,45
57326,2024-11-29,48
57365,2024-11-30,39
57393,2024-12-01,28
57424,2024-12-02,31
57465,2024-12-03,41
57512,2024-12-04,47
57546,2024-12-05,34
57578,2024-12-06,32
57609,2024-12-07,31
57632,2024-12-08,23
57650,2024-12-09,18
57688,2024-12-10,38
57721,2024-12-11,33
57745,2024-12-12,24
57787,2024-12-13,42
57813,2024-12-14,26
57829,2024-12-15,16
57844,2024-12-16,15
57877,2024-12-17,33
57899,2024-12-18,22
57939,2024-12-19,40
57967,2024-12-20,28
57997,2024-12-21,30
58016,2024-12-22,19
58034,2024-12-23,18
58057,2024-12-24,23
58078,2024-12-25,21
58098,2024-12-26,20
58118,2024-12-27,20
58147,2024-12-28,29
58176,2024-12-29,29
58198,2024-12-30,22
58230,2024-12-31,32
58252,2025-01-01,22
58273,2025-01-02,21
58306,2025-01-03,33
58335,2025-01-04,29
58361,2025-01-05,26
58389,2025-01-06,28
58418,2025-01-07,29
58449,2025-01-08,31
58485,2025-01-09,36
58516,2025-01-10,31
58565,2025-01-11,49
58585,2025-01-12,20
