Date,Downloads
2024-08-29,6325
2024-08-30,1860
2024-08-31,1184
2024-09-01,872
2024-09-02,1224
2024-09-03,1286
2024-09-04,1173
2024-09-05,963
2024-09-06,920
2024-09-07,488
2024-09-08,470
2024-09-09,858
2024-09-10,1395
2024-09-11,16174
2024-09-12,5323
2024-09-13,1689
2024-09-14,1047
2024-09-15,915
2024-09-16,16024
2024-09-17,6645
2024-09-18,2007
2024-09-19,1541
2024-09-20,1135
2024-09-21,816
2024-09-22,876
2024-09-23,1103
2024-09-24,1107
2024-09-25,1014
2024-09-26,840
2024-09-27,733
2024-09-28,532
2024-09-29,459
2024-09-30,798
2024-10-01,723
2024-10-02,673
2024-10-03,740
2024-10-04,612
2024-10-05,443
2024-10-06,497
2024-10-07,664
2024-10-08,689
2024-10-09,640
2024-10-10,634
2024-10-11,681
2024-10-12,372
2024-10-13,376
2024-10-14,604
2024-10-15,637
2024-10-16,589
2024-10-17,525
2024-10-18,521
2024-10-19,328
2024-10-20,327
2024-10-21,637
2024-10-22,624
2024-10-23,577
2024-10-24,554
2024-10-25,448
2024-10-26,261
2024-10-27,297
2024-10-28,492
2024-10-29,16098
2024-10-30,5225
2024-10-31,1918
2024-11-01,1301
2024-11-02,788
2024-11-03,703
2024-11-04,1151
2024-11-05,1069
