Date,Downloads
2024-08-29,2879
2024-08-30,2589
2024-08-31,1831
2024-09-01,1861
2024-09-02,2812
2024-09-03,2897
2024-09-04,2726
2024-09-05,2573
2024-09-06,2176
2024-09-07,1556
2024-09-08,1531
2024-09-09,2531
2024-09-10,9512
2024-09-11,59705
2024-09-12,18707
2024-09-13,5554
2024-09-14,2919
2024-09-15,2599
2024-09-16,4115
2024-09-17,3531
2024-09-18,3323
2024-09-19,3061
2024-09-20,2615
2024-09-21,1708
2024-09-22,1743
2024-09-23,2916
2024-09-24,2831
2024-09-25,2624
2024-09-26,2412
2024-09-27,2175
2024-09-28,1514
2024-09-29,1470
2024-09-30,2482
2024-10-01,2275
2024-10-02,2218
2024-10-03,2099
2024-10-04,1904
2024-10-05,1411
2024-10-06,1389
2024-10-07,2167
2024-10-08,2368
2024-10-09,2175
2024-10-10,1888
2024-10-11,1778
2024-10-12,2033
2024-10-13,1437
2024-10-14,1875
2024-10-15,2084
2024-10-16,1922
2024-10-17,1873
2024-10-18,1642
2024-10-19,1247
2024-10-20,1209
2024-10-21,1795
2024-10-22,1955
2024-10-23,1716
2024-10-24,1655
2024-10-25,1477
2024-10-26,1067
2024-10-27,1118
2024-10-28,1742
2024-10-29,1715
2024-10-30,1604
2024-10-31,1448
2024-11-01,1346
2024-11-02,1122
2024-11-03,959
2024-11-04,1642
2024-11-05,1587
2024-11-06,1580
2024-11-07,1568
2024-11-08,1740
2024-11-09,1060
2024-11-10,1115
2024-11-11,58880
2024-11-12,15208
2024-11-13,5411
2024-11-14,4231
2024-11-15,3414
2024-11-16,2154
2024-11-17,2189
2024-11-18,3381
2024-11-19,3259
2024-11-20,2765
2024-11-21,3336
2024-11-22,14830
2024-11-23,2165
2024-11-24,1555
2024-11-25,2326
2024-11-26,56712
2024-11-27,16444
2024-11-28,4773
2024-11-29,3238
2024-11-30,2276
2024-12-01,2196
2024-12-02,3749
2024-12-03,3072
2024-12-04,2829
2024-12-05,2545
2024-12-06,2280
2024-12-07,1555
2024-12-08,1487
2024-12-09,2508
2024-12-10,2375
2024-12-11,2357
2024-12-12,2196
2024-12-13,2864
2024-12-14,1399
2024-12-15,1395
2024-12-16,2201
2024-12-17,2535
2024-12-18,2313
2024-12-19,2072
2024-12-20,1687
2024-12-21,1224
2024-12-22,1210
2024-12-23,1593
2024-12-24,1352
