Total Downloads,Date,Today's Downloads
119039,2024-08-30,0
119347,2024-08-31,308
119539,2024-09-01,192
119750,2024-09-02,211
120037,2024-09-03,287
120313,2024-09-04,276
122723,2024-09-05,2410
123622,2024-09-06,899
123965,2024-09-07,343
124193,2024-09-08,228
124402,2024-09-09,209
124701,2024-09-10,299
125012,2024-09-11,311
125275,2024-09-12,263
125581,2024-09-13,306
125832,2024-09-14,251
125985,2024-09-15,153
126172,2024-09-16,187
126380,2024-09-17,208
126593,2024-09-18,213
126823,2024-09-19,230
127050,2024-09-20,227
127244,2024-09-21,194
127391,2024-09-22,147
127536,2024-09-23,145
127736,2024-09-24,200
127928,2024-09-25,192
128155,2024-09-26,227
128347,2024-09-27,192
128501,2024-09-28,154
128646,2024-09-29,145
128773,2024-09-30,127
128980,2024-10-01,207
129181,2024-10-02,201
129402,2024-10-03,221
129597,2024-10-04,195
129769,2024-10-05,172
129900,2024-10-06,131
130035,2024-10-07,135
130240,2024-10-08,205
130418,2024-10-09,178
130621,2024-10-10,203
130819,2024-10-11,198
130982,2024-10-12,163
131073,2024-10-13,91
131213,2024-10-14,140
131412,2024-10-15,199
131596,2024-10-16,184
131795,2024-10-17,199
131987,2024-10-18,192
132157,2024-10-19,170
132271,2024-10-20,114
132398,2024-10-21,127
132612,2024-10-22,214
132778,2024-10-23,166
132970,2024-10-24,192
133145,2024-10-25,175
133314,2024-10-26,169
133449,2024-10-27,135
133573,2024-10-28,124
133747,2024-10-29,174
133937,2024-10-30,190
134100,2024-10-31,163
134275,2024-11-01,175
134445,2024-11-02,170
134591,2024-11-03,146
134737,2024-11-04,146
134931,2024-11-05,194
135122,2024-11-06,191
135336,2024-11-07,214
135524,2024-11-08,188
135690,2024-11-09,166
135821,2024-11-10,131
135990,2024-11-11,169
136176,2024-11-12,186
138599,2024-11-13,2423
139668,2024-11-14,1069
140063,2024-11-15,395
140357,2024-11-16,294
140587,2024-11-17,230
140828,2024-11-18,241
141107,2024-11-19,279
141377,2024-11-20,270
141606,2024-11-21,229
141903,2024-11-22,297
142178,2024-11-23,275
142361,2024-11-24,183
142545,2024-11-25,184
142757,2024-11-26,212
142953,2024-11-27,196
143166,2024-11-28,213
143348,2024-11-29,182
143526,2024-11-30,178
143663,2024-12-01,137
143810,2024-12-02,147
144025,2024-12-03,215
144213,2024-12-04,188
144391,2024-12-05,178
144583,2024-12-06,192
144783,2024-12-07,200
144913,2024-12-08,130
145039,2024-12-09,126
145224,2024-12-10,185
145422,2024-12-11,198
145597,2024-12-12,175
145744,2024-12-13,147
145880,2024-12-14,136
145985,2024-12-15,105
146114,2024-12-16,129
146258,2024-12-17,144
146405,2024-12-18,147
146568,2024-12-19,163
146723,2024-12-20,155
146841,2024-12-21,118
146963,2024-12-22,122
147064,2024-12-23,101
147164,2024-12-24,100
147282,2024-12-25,118
147372,2024-12-26,90
147471,2024-12-27,99
147585,2024-12-28,114
147707,2024-12-29,122
147817,2024-12-30,110
147951,2024-12-31,134
148059,2025-01-01,108
148160,2025-01-02,101
148310,2025-01-03,150
148456,2025-01-04,146
148581,2025-01-05,125
148701,2025-01-06,120
148853,2025-01-07,152
149021,2025-01-08,168
149188,2025-01-09,167
149360,2025-01-10,172
149490,2025-01-11,130
149628,2025-01-12,138
149765,2025-01-13,137
149932,2025-01-14,167
150075,2025-01-15,143
150274,2025-01-16,199
150439,2025-01-17,165
150605,2025-01-18,166
150733,2025-01-19,128
150869,2025-01-20,136
151031,2025-01-21,162
151191,2025-01-22,160
151371,2025-01-23,180
151537,2025-01-24,166
151679,2025-01-25,142
151780,2025-01-26,101
151909,2025-01-27,129
152046,2025-01-28,137
152219,2025-01-29,173
152385,2025-01-30,166
152536,2025-01-31,151
152679,2025-02-01,143
152810,2025-02-02,131
152936,2025-02-03,126
153102,2025-02-04,166
153262,2025-02-05,160
153443,2025-02-06,181
153615,2025-02-07,172
153771,2025-02-08,156
153893,2025-02-09,122
154026,2025-02-10,133
154192,2025-02-11,166
154352,2025-02-12,160
154519,2025-02-13,167
154678,2025-02-14,159
154813,2025-02-15,135
154940,2025-02-16,127
155062,2025-02-17,122
155210,2025-02-18,148
155361,2025-02-19,151
155516,2025-02-20,155
155689,2025-02-21,173
155820,2025-02-22,131
155926,2025-02-23,106
156051,2025-02-24,125
156210,2025-02-25,159
156359,2025-02-26,149
156520,2025-02-27,161
156672,2025-02-28,152
156831,2025-03-01,159
156928,2025-03-02,97
157049,2025-03-03,121
157193,2025-03-04,144
157365,2025-03-05,172
157518,2025-03-06,153
157689,2025-03-07,171
